Cik_code,Cik_code2
262500005,262500005
262500006,262500006
262500007,262500007
262500008,262500008
262500009,262500009
262500010,262500010
262500011,262500011
262500012,262500012
262500013,262500013
262500016,262500016
262500018,262500018
262600002,262600002
262600008,262600008
263400007,263400007
263900003,263900003
263900005,263900005
263900009,263900009
263900012,263900012
263900014,263900014
263900015,263900015
263900016,263900016
263900018,263900018
263900020,263900020
263900023,263900023
263900028,263900028
263900029,263900029
263900030,263900030
263900031,263900031
263900042,263900042
263900050,263900050
263900051,263900051
263900052,263900052
263900053,263900053
263900054,263900054
263900061,263900061
263900062,263900062
264300004,264300004
264300005,264300005
264500004,264500004
264500006,264500006
264700005,264700005
265500001,265500001
265500002,265500002
265500003,265500003
265500004,265500004
265500005,265500005
265500006,265500006
265500008,265500008
265500009,265500009
265500010,265500010
265500012,265500012
265900001,265900001
265900002,265900002
265900003,265900003
265900004,265900004
265900005,265900005
265900006,265900006
270400006,270400006
270700016,270700016
270700020,270700020
271200002,271200002
271200016,271200016
271200023,271200023
271200034,271200034
272200002,272200002
272200006,272200006
272200010,272200010
272700014,272700014
273100002,273100002
273100015,273100015
273100132,273100132
273100133,273100133
273100134,273100134
273100135,273100135
273100136,273100136
273100137,273100137
273100138,273100138
273100178,273100178
273100201,273100201
273600006,273600006
273600007,273600007
273600012,273600012
273600017,273600017
273700001,273700001
273700002,273700002
280200009,280200009
282200004,282200004
282200005,282200005
282200038,282200038
282300003,282300003
282300010,282300010
283500001,283500001
283500038,283500038
283500039,283500039
283500040,283500040
283500041,283500041
283500042,283500042
283500043,283500043
283500055,283500055
283500057,283500057
283500058,283500058
283500059,283500059
283500072,283500072
290900007,290900007
290900010,290900010
290900012,290900012
290900052,290900052
290900053,290900053
290900054,290900054
290900055,290900055
290900056,290900056
290900057,290900057
290900058,290900058
291100002,291100002
291700001,291700001
291700002,291700002
291700003,291700003
291700004,291700004
291700013,291700013
292800001,292800001
292800002,292800002
292800003,292800003
292800004,292800004
292800005,292800005
292800009,292800009
292800012,292800012
292800013,292800013
292800016,292800016
292800017,292800017
292800018,292800018
292800019,292800019
292900001,292900001
292900003,292900003
292900005,292900005
292900006,292900006
293000014,293000014
293200002,293200002
293200003,293200003
293200005,293200005
293200007,293200007
293300004,293300004
293300005,293300005
293300006,293300006
293300007,293300007
293300008,293300008
293300020,293300020
293300021,293300021
293400002,293400002
293400005,293400005
293400041,293400041
293400042,293400042
293400044,293400044
293400045,293400045
293400046,293400046
293400047,293400047
293400060,293400060
293400061,293400061
293400062,293400062
293400063,293400063
293400064,293400064
293400065,293400065
293400066,293400066
293400067,293400067
293400068,293400068
