name,cand_number_norm,mir,pref_votes
Айдън Мустафа Байрам,16,3,58
Ахмед Ахмед Идриз,17,3,51
Мехмед Хасанов Хасанов,18,3,35
Нурай Ахмед Басри,19,3,46
Севим Тезжан Мустафа,20,3,42
Мустафа Сали Карадайъ,1,30,281
Ай��ел Исмаил Руфад,2,30,440
Хамид Бари Хамид,3,30,118
Нехрибан Османова Ахмедова,4,30,155
Кадир Назиф Хасан,5,30,141
Нида Намъков Ахмедов,6,30,104
Седат Ахмед Кадир,7,30,73
Христо Христов Кюркчиев,8,30,94
Мустафа Урал Мустафа,9,30,142
Юсеин Шакир Юсеин,10,30,31
Севдисен Ахмед Неджиб,11,30,41
Дениз Айнур Джелял,12,30,62
Янко Александров Янков,1,31,27
Петър Пандушев Чобанов,2,31,36
Реджеб Селяхтинов Арифов,3,31,7
Георги Петров Георгиев,4,31,16
Юсеин Мехмедов Юсеинов,5,31,5
Юсеин Хасан Ахмед,6,31,5
Стойко Иванов Тодоров,7,31,10
Велислава Иванова Кръстева,8,31,4
Мастън Османов Мастънов,1,4,256
Гюнай Мюмюнов Далоолу,2,4,384
Сунай Хасанов Мунков,3,4,337
Фатме Билялова Етемова,4,4,81
Мъстън Феимов Еминов,5,4,139
Ивелин Якимов Розинов,6,4,67
Алекбер Исмет Абил,7,4,60
Стефчо Иванов Алипиев,8,4,60
Атанас Дончев Бъчваров,9,4,279
Федя Зафиров Дервишев,10,4,108
Санер Гюнай Узунали,11,4,28
Елеонора Бориславова Марева,12,4,57
Ердинч Басри Хюсеин,13,4,14
Едиз Ниязиев Акифов,14,4,7
Ипек Синан Рушидова,15,4,88
Станислав Димитров Анастасов,1,5,271
Адриан Мирославов Маринов,2,5,422
Светла Светославова Ангелова,3,5,301
Иванка Радославова Каменова,4,5,151
Тамара Руменова Василева,5,5,44
Чавдар Илчов Славчов,6,5,135
Радостина Александрова Ранчинска,7,5,246
Наташа Савова Ганцова,8,5,94
Йордан Кирилов Цонев,1,6,245
Цветан Иванов Енчев,2,6,614
Борислав Константинов Банчев,3,6,152
Десислава Димитрова Тодорова,4,6,1106
Каролина Симеонова Кьолер,5,6,1138
Бранимир Асенов Бочев,6,6,383
Касъм Мехти Касъмов,7,6,441
Йордан Александров Димитров,8,6,435
Стефан Димитров Ангелов,9,6,515
Христо Найденов Найденов,10,6,79
Николай Емилов Николов,11,6,65
Светлин Николаев Герасимов,12,6,97
Мелекбер Шевки Велева,1,7,143
Ердоан Мехмед Узунов,2,7,216
Исмаил Кязим Хаджихасан,3,7,69
Ахмед Ибрахимов Мехмедов,4,7,85
Боян Стоянов Савянов,5,7,56
Илхан Раимов Сабриев,6,7,39
Чидем Ибрамова Алексиева,7,7,120
Деян Събев Башев,8,7,37
Хасан Ахмед Адемов,1,8,301
Ердинч Илияз Хаджиев,2,8,92
Нежля Неджати Амди - Ганева,3,8,340
Севинч Зия Касабова,4,8,43
Габриел Видинов Каракашев,5,8,66
Ертен Белгинова Анисова,6,8,69
Арзу Йосифова Енчева,7,8,25
Кемал Себайдин Асан,8,8,49
Джошкун Девлет Якубов,9,8,93
Марин Пенев Маринов,10,8,23
Дилек Илхан Мюзекя,11,8,37
Мустафа Сали Карадайъ,1,9,393
Хасан Азис Исмаил,2,9,336
Ресми Мехмед Мурад,3,9,275
Мукаддес Юсуф Налбант,4,9,103
Байрам Юзкан Байрам,5,9,166
Адлен Шукри Шевкед,6,9,103
Юсеин Велиайдин Ахмед,7,9,114
Сейфи Сабри Мехмедали,8,9,151
Павлин Павлов Кръстев,9,9,163
Абидин Мехмед Хаджимехмед,10,9,133
