name,cand_number_norm,mir,pref_votes
Жельо Петров Алексиев,29,3,54
Бранимир Георгиев Георгиев,30,3,2623
Красимир Георгиев Вълчев,1,30,1062
Илтер Бейзатов Садъков,2,30,6799
Димо Чавдаров Георгиев,3,30,317
Николай Станимиров Стефанов,4,30,176
Юлия Вълчева Добрева- Петрова,5,30,802
Румен Петров Генов,6,30,249
Детелина Красимирова Куртева,7,30,155
Димитър Крумов Александров,8,30,1074
Роска Енчева Петкова,9,30,128
Ахмед Неджатов Еминов,10,30,164
Добри Сашков Стоянов,11,30,223
Мариан Симеонов Ангелов,12,30,181
Димитър Руменов Рунков,1,31,1412
Станислав Димитров Говедаров,2,31,403
Димитър Ангело�� Иванов,3,31,392
Снежана Христова Делчева,4,31,770
Атанас Христов Христов,5,31,190
Дора Йовчева Стоянова - Костова,6,31,140
Павел Георгиев Додов,7,31,282
Явор Златков Брънков,8,31,191
Костадин Георгиев Ангелов,1,4,2632
Любомира Симеонова Попова,2,4,566
Димитър Стойков Николов,3,4,3219
Станислав Иванов Стоянов,4,4,834
Николен Веселинов Стойнов,5,4,447
Георги Петров Недев,6,4,1030
Росица Тодорова Димитрова,7,4,657
Илиян Венков Георгиев,8,4,1599
Валентин Василев Точков,9,4,538
Детелина Кирилова Борисова,10,4,1128
Вероника Михайлова Димова,11,4,183
Венцислав Милков Георгиев,12,4,449
Цветелин Георгиев Йорданов,13,4,291
Христо Евгениев Стоев,14,4,160
Стефан Иванов Бранзелов,15,4,164
Никифор Тодоров Тодоров,16,4,137
Росица Любенова Кирова,1,5,1934
Александър Филчев Матеев,2,5,1684
Росен Ангелов Цветков,3,5,672
Силвия Петрова Евдокимова,4,5,176
Емил Вадимов Мушанов,5,5,280
Николай Сашов Николов,6,5,860
Ирена Лилкова Гъркова,7,5,156
Лъчезар Георгиев Попиванов,8,5,353
Петя Цветанова Аврамова,1,6,2966
Красен Георгиев Кръстев,2,6,6690
Костадин Никифоров Шахов,3,6,468
Малина Иванова Николова,4,6,1633
Драгомир Ангелов Маринов,5,6,1024
Мирослав Иванов Аспарухов,6,6,2365
Иво Кирилов Ралчовски,7,6,317
Мирослав Петров Комитски,8,6,800
Миглена Георгиева Горанова,9,6,1588
Мартин Николаев Харизанов,10,6,695
Веселин Иванов Веселинов,11,6,133
Светослав Цветанов Спасов,12,6,321
Томислав Пейков Дончев,1,7,3133
Невена Евстатиева Минева,2,7,1023
Николай Цветанов Сираков,3,7,258
Климент Минков Кунев,4,7,578
Дончо Тихолов Захариев,5,7,539
Теодора Минчева Мъглова-Иванова,6,7,236
Павлин Красимиров Ганчев,7,7,1340
Веселин Димитров Данчев,8,7,426
Деница Евгениева Сачева,1,8,1707
Красимир Христов Николов,2,8,2200
Зорница Николаева Михайлова,3,8,739
Маргарита Калинова Вичева,4,8,982
Живко Николов Желязков,5,8,1127
Радослав Добрев Йорданов,6,8,304
Ивайло Матеев Петев,7,8,191
Иван Димитров Иванов,8,8,286
Нефизе Джелил Кадир,9,8,603
Иван Веселинов Иванов,10,8,428
Галин Иванов Костадинов,11,8,256
Даниела Добрева Димитрова,12,8,1222
Цвета Вълчева Караянчева,1,9,1139
Никола Светозаров Чанев,2,9,283
Въльо Ангелов Ангелов,3,9,382
Ервин Енвер Хасан,4,9,188
Асен Славчев Тюрдиев,5,9,67
Адам Драганов Персенски,6,9,520
Асие Мустафа Мурад,7,9,58
Мехмед Сабахтин Хасан,8,9,167
Николай Велев Дочев,9,9,74
Гроздан Делчев Колев,10,9,105
